,good_bad
156900,0
294840,1
89426,1
157837,1
348317,1
191403,1
341397,1
281029,1
183073,1
366653,1
362495,1
450685,1
31361,1
438991,1
105407,1
182905,0
310436,1
222503,1
302593,1
18446,1
247585,1
300844,1
462230,1
450250,1
359914,0
93438,1
159916,1
330365,1
327584,1
210533,0
43715,1
278373,1
308890,1
343751,1
48812,1
175591,0
127183,1
1683,1
336958,1
53830,1
181338,1
285976,0
376572,1
278514,1
164119,1
30906,1
82215,1
378874,1
67884,1
450050,0
180008,1
81952,1
148153,1
376906,1
172689,1
241317,1
265607,1
442741,1
391927,1
58164,1
65746,1
193316,1
115607,1
3319,0
251188,1
157701,1
378286,1
287008,1
403482,1
138732,1
29771,1
120693,0
130851,1
389372,1
107638,1
40731,0
195029,0
212207,1
227003,1
163413,1
54703,1
87605,1
96812,1
39807,1
208595,1
245362,1
452725,1
111998,1
156655,1
246051,1
52872,1
394151,1
141252,1
318095,1
417249,1
355338,1
65930,1
102703,1
221603,1
291921,1
157161,1
388963,1
13197,1
323207,1
6470,1
123965,1
46938,1
114862,0
302322,1
399842,1
262442,1
112448,1
446079,1
412890,1
267172,1
114980,1
194369,0
369190,0
117558,1
423987,1
186450,1
292298,1
231646,0
141777,1
381976,1
4391,1
176858,0
361910,1
290962,1
250318,1
227621,1
395778,0
395688,1
290047,1
172567,1
402918,1
461378,1
55927,1
6731,1
240296,1
278975,1
48933,1
277237,1
348120,1
424595,1
387050,0
49715,1
158853,1
282332,1
172850,1
287876,0
263273,1
237954,1
342055,1
301064,1
202076,1
448301,0
339080,1
441476,1
281763,1
138560,0
133900,1
232272,1
225948,1
441375,1
453557,0
64265,1
384249,1
350357,1
83192,1
17470,1
130619,1
419385,1
240695,1
217631,1
176174,1
25094,1
247599,1
33225,1
18017,1
173987,0
455884,1
420767,1
446914,1
342361,1
113374,0
396168,1
159030,1
266015,1
10392,1
293170,1
322290,1
283190,1
461257,1
162988,1
59960,0
461222,1
400878,1
376714,1
47949,1
380410,1
20334,1
213334,0
307782,1
201335,1
415091,1
261917,1
448163,1
324590,1
296153,1
51018,1
161220,1
107287,1
2785,1
120604,0
193749,1
203008,1
141231,0
41693,1
139768,1
357031,1
367133,1
268903,1
143952,1
139740,0
145386,1
206453,1
389608,1
447083,1
241437,1
307085,0
358571,1
233495,1
318120,1
33246,1
171351,1
197010,1
31519,1
148709,1
313965,1
270898,1
283990,1
281993,1
341444,0
449865,1
309089,1
352349,1
275054,1
268441,1
346287,1
70007,1
80043,1
53128,1
407422,1
122158,1
380188,1
465908,1
411487,1
463071,1
281382,1
178752,1
305149,1
19223,1
23965,1
332938,1
273019,1
195506,1
251826,1
437102,1
43783,1
333584,1
246336,1
311212,1
270540,1
103931,1
381247,1
371134,1
28201,0
117534,1
284003,1
79890,1
369781,1
398633,1
425035,1
153089,1
283372,1
462463,1
384716,1
263626,1
185125,1
271401,1
195331,0
446105,1
27587,0
32296,1
70787,1
49880,1
435322,1
290200,1
459967,1
378550,1
1249,1
333159,1
411592,1
424651,1
325895,1
324586,1
238592,1
273659,1
443454,1
383006,1
343271,1
144215,1
196439,1
334838,1
259892,1
223179,1
277205,1
14383,1
415416,1
244947,1
21917,1
158916,0
116145,1
348860,0
114014,1
234171,1
281320,1
270974,1
100075,1
232966,1
311562,1
8386,0
435247,1
115980,1
385958,1
197137,1
414512,1
163907,1
302074,0
234652,1
344728,1
391683,1
126066,1
456632,1
437463,1
197161,1
222674,1
175504,0
401804,1
276738,1
232449,1
365730,1
186535,1
455916,1
327402,1
250879,1
7734,0
391490,1
190343,1
136701,1
34634,1
210731,0
261067,1
272527,1
148531,1
60054,1
123376,1
370073,1
272334,1
182056,1
263073,1
137372,1
384028,1
356783,1
367366,1
244410,1
132372,1
387234,0
95631,1
233055,1
281591,0
441842,1
383772,1
116531,1
144722,1
118776,1
289210,1
158241,1
110067,1
23073,1
420952,1
117454,1
347670,1
120532,1
266419,1
102019,1
219916,1
457332,1
37086,1
4293,0
437969,1
244862,1
454000,1
77667,1
446752,1
385386,1
463117,1
381070,1
362394,1
385399,1
353447,1
178697,1
136732,1
164084,1
415565,1
166641,1
164773,1
381085,1
395020,1
378672,1
245870,1
213903,1
244979,1
179290,1
223522,0
439172,1
25228,1
245594,1
349698,1
257175,0
444159,1
139386,1
306228,1
174329,1
990,1
378826,1
165934,1
22493,1
39965,0
168595,1
178588,1
436360,1
416179,1
250857,1
337542,1
31929,1
464139,1
283218,1
260766,1
173541,1
452395,1
196094,1
388073,1
228886,1
243592,1
418105,1
50458,1
247592,1
28868,1
463007,1
167327,1
332747,1
246007,1
370625,1
95890,1
127869,0
441414,1
410030,1
156469,1
365640,1
39855,1
32000,1
175670,1
88260,1
216951,1
117361,0
25073,1
122985,1
285146,1
428194,1
442646,1
257939,1
321145,0
256068,1
375928,1
275930,0
239546,1
29496,1
323488,1
439226,1
172353,1
30671,1
413685,1
280280,1
11037,1
375794,1
230312,1
160483,1
171220,1
275679,1
213654,1
459011,1
397936,0
134464,1
299847,1
257660,1
407620,1
48417,1
224030,1
440824,1
279851,1
412660,1
70945,1
84672,1
371563,1
49123,0
62048,1
392073,1
169683,1
27916,1
444413,1
453297,1
373488,1
42480,1
360993,1
449985,1
411653,1
48274,1
234629,1
57383,1
324644,0
173530,1
230633,1
284955,1
170896,1
223236,1
384018,1
322447,1
90224,1
405024,1
408350,0
249310,1
134826,1
441398,0
63614,1
381855,1
302251,1
375283,1
45587,0
246569,1
457460,1
264120,1
169061,1
348542,1
459322,1
332791,1
333291,1
152957,1
441156,0
439843,1
285392,0
133160,0
37286,1
303515,1
42976,1
120966,1
26483,0
86260,1
404410,1
227352,1
403373,1
8746,0
134790,1
329879,1
406168,1
215903,1
260747,1
460555,1
411116,1
266490,1
166124,0
420969,1
24706,1
178021,1
441071,1
257327,1
113935,1
402060,1
144364,1
305996,1
266406,1
98220,1
388380,1
413789,1
165660,1
37077,0
20054,1
298069,1
54148,1
75062,1
24303,1
371479,1
420015,0
300487,1
232234,1
39301,0
26331,1
241633,1
22118,1
168227,0
80760,1
457231,1
173667,1
145816,1
332898,1
307577,0
191777,1
139607,1
457851,1
442825,1
237856,1
343573,1
444877,1
455653,1
178499,1
442482,1
455163,1
170415,1
25842,1
302819,1
339302,1
169991,1
284896,1
384587,1
215912,1
388987,0
283040,1
156387,0
112468,0
38434,1
155860,1
31418,1
103195,1
149528,1
132591,0
309895,1
281524,1
55687,1
386813,1
176224,0
415377,1
454809,1
204001,1
44351,1
321224,1
252670,0
328987,0
200594,1
434493,1
461453,1
455127,1
294579,1
337200,1
24095,1
241221,1
193704,1
335864,1
240873,1
108627,0
444477,1
344326,1
309610,1
396170,1
33042,1
349779,1
18692,1
158696,1
323355,1
213820,1
180332,1
180292,1
15267,1
252157,1
295285,1
374483,1
387893,1
271014,1
290272,1
216898,1
217870,0
407846,1
213688,1
75465,1
440896,1
302088,1
267979,1
462586,0
39308,1
23885,1
223062,1
340979,1
396483,1
50986,1
56076,1
128200,1
463130,1
66659,1
168156,0
271051,1
145589,1
336212,1
107680,1
15623,1
40713,1
176288,1
306582,1
53585,1
459659,1
390245,1
359574,1
434897,1
79243,1
417214,1
149368,1
359755,1
393212,1
10396,1
279664,1
26635,1
39495,1
192597,1
153575,1
280342,1
291076,1
104337,1
208939,1
81830,1
108664,0
208874,1
436928,1
122437,1
106689,1
289378,1
8018,1
435286,1
4805,1
175119,1
217952,1
380568,1
428150,1
16377,1
464403,1
95313,1
29204,1
393972,1
244272,1
324573,1
377277,1
256880,1
454703,1
14624,1
358329,1
265759,1
209737,1
158955,1
292143,1
233248,1
244375,1
270028,1
13861,1
149708,1
6098,1
422796,1
294978,1
26299,1
127550,1
276008,1
399982,1
350392,1
65644,1
389645,1
359840,1
13083,1
435962,1
2685,1
358061,1
171110,1
101709,1
109404,1
240407,1
210901,1
27889,1
62678,1
120630,1
385556,1
383368,1
409441,1
147630,0
16839,1
257782,1
57388,1
58888,1
440790,1
202534,1
105132,1
329180,1
366690,1
18335,1
171537,1
173590,1
45826,1
417577,1
393740,1
456253,1
141963,0
50938,1
321038,1
275064,1
458025,1
12321,0
173268,1
347653,1
193699,1
6931,1
417376,1
431552,1
90370,1
242962,1
99998,1
14179,1
386522,1
33765,1
363017,1
88068,0
291327,1
328696,1
276106,1
87548,1
422624,1
413738,1
270094,1
433625,1
47500,1
204128,1
112089,1
425221,1
90841,1
232210,1
386102,1
247402,1
206309,1
452471,1
359032,1
343926,1
177778,1
183879,0
348508,1
141593,1
432709,1
466223,1
372128,1
138707,1
2062,0
141371,1
108378,1
60727,0
436175,1
331154,1
350553,1
218572,1
27416,1
426140,1
113832,1
16611,1
337138,0
338364,1
421858,1
318157,1
41588,1
56031,1
231692,1
14964,1
135713,1
430506,1
424723,1
344557,1
161288,1
68918,1
341540,1
27380,0
265950,1
166939,1
451719,1
271770,1
23835,1
440898,1
159274,1
147658,1
344736,1
375349,1
277859,1
105582,1
432437,1
349035,1
100818,0
164101,1
422565,1
81426,0
322762,1
149015,1
229796,1
49284,1
261297,1
268378,1
307006,1
434257,1
100697,1
132452,1
205221,1
422096,1
34245,1
348656,0
47870,1
190909,1
234576,1
268577,1
421313,1
291187,1
462886,1
249573,1
433455,1
95913,1
229455,1
213706,0
57493,1
267651,1
228216,1
299192,1
262995,1
140242,1
60643,1
297222,1
447724,1
420940,1
89703,1
58012,1
339578,1
324021,1
247182,1
429391,1
317502,1
1111,1
80644,1
67336,1
307160,1
16265,1
85234,1
18294,1
204332,1
235986,1
207052,1
298725,1
24048,1
95339,1
163254,1
198611,1
109428,1
94639,1
200167,1
233321,1
384882,1
183320,1
188951,1
251193,1
441297,1
43646,1
238704,1
149322,1
229097,1
23843,0
177512,1
195023,1
254123,1
201084,1
447881,0
432374,1
212458,0
396895,1
427258,1
268675,1
230539,1
405322,1
192530,1
254973,1
140636,1
321818,1
52183,1
395180,1
441229,1
446736,1
134031,1
339989,1
221901,1
24783,1
278603,1
62768,1
210548,1
178432,1
111478,0
74315,0
419445,1
143479,1
237055,1
64818,0
156652,0
143997,1
72608,1
424603,1
433878,1
305011,1
95846,1
216515,1
147966,1
382630,1
195711,1
403004,1
154685,1
3404,1
377266,1
177156,1
333181,1
415595,1
135020,1
241134,1
327307,1
236938,1
92653,1
197770,1
103027,0
214356,1
412456,1
285594,1
20959,1
230153,1
59736,1
246653,1
105120,1
100410,1
393752,1
182131,1
363322,1
409484,1
148012,1
247765,1
355122,1
150581,1
27047,1
57958,1
133434,1
211686,0
116791,1
420087,1
56073,0
180730,1
282297,1
343097,1
138188,1
196414,1
434235,1
390556,1
284098,1
181273,1
292407,1
53866,1
93308,1
318171,1
383650,1
328771,1
457409,1
180869,1
280782,1
70662,1
153029,1
151629,1
279521,1
18490,1
427541,1
272473,0
377896,1
152263,0
39942,0
155127,1
342495,1
43407,1
85119,1
450725,1
237387,1
434469,0
423290,1
451272,1
107540,1
293434,1
90669,1
448577,1
354196,1
180028,0
309482,1
270838,1
233449,1
218804,1
370131,1
399045,1
391822,1
448421,1
110561,1
222131,0
396682,1
335416,1
68062,1
330627,1
207496,1
399550,1
5232,1
232642,1
411948,1
5387,1
14477,1
365037,1
235545,1
385308,1
326894,1
457111,1
71992,1
78112,1
325918,1
36421,1
183278,1
247495,1
92286,1
378744,1
41205,1
424404,1
69849,1
245591,1
389936,1
154597,1
401419,1
258781,1
88700,0
421039,1
209942,1
287151,1
194588,1
76568,1
408839,1
147685,1
435687,1
449958,1
368271,0
178912,1
43879,1
37711,1
55376,1
342079,1
410242,1
151146,0
281103,1
166431,1
446301,1
235804,1
25611,1
405984,1
110504,1
53261,1
10866,0
267394,1
209653,0
27251,1
361795,1
190970,1
344027,1
138515,1
240579,1
206705,1
63681,1
203986,1
135977,1
373040,1
65808,1
2393,1
312808,1
29286,1
318188,1
71620,1
428008,1
204105,1
48088,1
279959,1
430094,1
294367,1
71599,1
263775,1
258431,0
184733,1
137347,1
27166,1
382884,1
244205,1
150738,1
451082,1
336036,0
183285,1
156039,1
94016,1
385779,0
8596,1
18538,1
388974,1
254459,1
305417,1
281753,1
242709,1
197172,1
371250,1
192222,1
380062,1
38622,1
386616,1
94317,1
113222,1
215107,1
187777,1
375896,1
95499,0
69269,1
461264,0
444232,1
445316,1
373374,1
323954,1
99959,1
392894,1
196488,1
451897,1
232071,1
47094,0
309950,1
184204,1
93134,1
100105,1
6440,1
234689,1
451275,1
87281,1
271469,1
305826,1
68155,1
116377,1
243368,1
280764,0
230386,1
448712,1
114134,1
122821,1
188993,1
213997,0
322209,1
449806,1
269058,1
174084,1
25265,1
317807,1
418607,0
411644,1
412522,1
96178,1
167709,1
348214,1
253747,1
147856,0
412826,1
218985,1
238531,1
164579,0
386818,1
5409,1
376956,1
2381,1
24774,1
379552,1
280726,1
383781,1
236992,1
271572,1
358372,1
132582,1
35698,0
125864,1
410976,1
48090,1
182581,1
44521,1
454165,1
237247,0
173089,1
6788,0
88559,1
260076,1
183659,1
263112,1
413238,1
448370,1
332876,1
351223,1
257015,1
302087,1
137842,1
381208,1
403548,1
319633,1
261408,1
391438,1
22267,1
229307,1
305962,1
335020,1
246426,1
239044,0
360156,1
341243,1
294455,1
324598,0
251120,1
305954,1
322231,1
117087,1
4113,1
399817,1
222815,1
203575,0
325925,1
92716,1
345239,1
347214,1
330498,1
252501,1
354295,1
325392,1
410401,0
113623,0
126659,1
29721,0
106228,1
423040,1
12489,1
359456,1
93229,1
255656,1
63236,1
323444,1
118656,1
206236,1
71250,1
401213,1
283868,1
343900,1
197860,1
159923,1
3012,1
190038,0
81861,1
385111,1
53961,1
416153,1
216913,1
82974,1
94807,1
380543,0
94415,0
106220,1
32842,1
292923,1
370230,0
405506,1
33248,1
396517,1
77904,1
348570,1
130132,1
61860,1
2037,1
12977,1
253723,1
118731,1
368986,1
180776,1
417715,1
173421,1
352321,1
91505,1
76345,1
222348,1
81185,1
381075,1
357008,0
150573,1
52472,1
219084,1
159281,1
381623,1
381753,1
418921,0
191027,1
51505,1
253999,1
128999,0
372237,1
361572,1
389669,1
192615,1
409433,1
25377,1
267796,1
201010,1
177270,1
348340,1
248799,1
94980,1
277750,1
6459,1
308432,1
432753,1
121976,1
33257,1
37349,1
118244,1
227078,1
224518,1
134323,1
71486,1
217987,1
83864,0
192086,1
398990,1
331107,1
429557,1
210919,1
128252,1
35705,1
440524,0
96697,1
338315,1
266052,1
396924,1
109498,1
116890,1
405108,1
159175,1
291959,1
66461,1
307045,1
463060,1
48327,1
197617,1
268051,1
211456,0
140977,1
11134,1
252295,1
381082,1
194723,0
463441,1
177006,1
291153,1
82234,0
243016,1
419550,1
271252,1
302086,1
352310,1
232371,1
145308,1
436760,1
76219,1
449591,1
299543,1
179792,1
356416,1
38949,1
161592,0
178358,1
393690,1
71585,0
140391,1
80547,1
222469,0
134588,1
351419,1
58665,1
308847,1
44748,1
191089,0
134435,1
262991,1
418846,1
166084,1
345075,1
169574,1
39668,1
463427,1
103466,1
190846,1
193776,1
102824,0
168971,1
347597,1
146911,0
67482,0
109034,1
64250,1
369959,1
52630,1
162939,1
396378,0
47010,1
60291,1
46293,0
462474,0
131331,1
251576,1
24794,1
321671,1
375730,1
141208,1
195466,1
462205,1
349951,1
420558,1
108287,1
151333,1
126752,1
158820,1
371792,1
31321,1
26796,1
351316,1
291424,1
144863,1
441626,0
57105,1
380759,1
332204,1
384896,1
250670,1
346312,1
233634,1
210402,1
99337,1
357228,1
459634,1
418309,1
205466,1
445003,0
255042,1
333476,1
192010,1
114438,1
376438,1
395729,1
83390,1
435580,1
113826,1
137490,1
404268,1
21374,1
183441,1
454106,1
427550,1
280008,1
434571,1
261109,1
57739,1
169137,1
286506,0
424854,1
194452,1
110147,1
334978,1
251726,1
65327,1
359378,1
223259,1
363871,1
274129,1
329984,1
283131,1
370482,0
436,1
369457,1
143036,1
40501,1
440654,1
105118,1
13244,1
83660,1
430579,1
228739,1
72967,1
240088,1
6198,1
435075,1
285134,1
462292,1
222232,1
307514,1
174670,1
81080,1
220098,1
466130,0
444511,1
228720,1
270256,1
78256,1
293096,1
169346,1
395759,1
199796,1
184647,1
422488,1
378867,1
51830,1
163269,1
114998,1
141324,1
427634,1
12222,1
438096,1
460205,1
442102,1
366979,1
292836,1
388184,1
355317,1
175940,1
233163,1
378657,1
221535,1
323335,1
158908,1
136900,1
88096,1
419980,1
443117,1
92983,1
120556,1
394870,1
393013,1
51390,1
445082,1
400523,1
351257,1
88030,0
200293,1
397437,1
347523,1
77661,1
207188,1
154139,1
128477,1
216955,1
165033,0
362108,1
386729,1
313517,1
251654,0
130150,1
335327,1
75178,1
233271,1
240875,1
115588,1
160410,1
7437,1
427770,1
349852,0
299038,1
23609,0
26030,1
195553,1
401571,1
60713,1
15553,1
435470,1
366843,1
256533,1
54553,1
363751,1
226523,1
241724,1
549,1
85088,1
128434,1
47656,1
196192,1
42383,0
201280,1
191121,1
55905,1
22042,1
394508,1
54142,1
172829,1
385472,1
338872,1
194368,1
344930,0
48109,0
309973,0
168182,1
5921,1
245878,1
27360,1
8580,0
42596,1
143473,1
20512,1
153716,1
170748,1
70517,0
438836,1
254516,1
322551,1
380035,1
404006,1
366426,1
295687,1
266831,1
452697,1
200997,1
296046,1
143471,1
223518,1
307079,1
346322,1
67645,1
184974,1
29724,0
179899,1
73632,1
99592,1
402423,1
255909,1
359254,1
221737,1
182947,0
13618,1
130175,1
221599,0
193863,1
187940,1
433283,1
277013,1
451051,1
13281,1
359241,1
146117,1
463602,1
95063,1
198870,1
385082,1
166566,1
308553,1
48324,0
67815,1
94723,1
13842,0
241603,1
409084,1
125953,1
210220,1
179947,1
4352,1
410701,1
451952,1
331381,1
64552,1
242101,1
143621,1
447723,1
105496,1
185274,1
344420,0
55275,1
177686,1
216856,1
25828,1
144203,1
94363,1
343946,1
417707,1
182395,1
352348,1
52671,1
426475,1
428217,1
437446,1
426112,1
90623,1
292459,1
220723,1
138799,1
227124,1
421765,1
265030,1
247963,1
188609,1
402302,1
210845,1
209282,1
10877,1
114860,1
298787,0
305238,1
363458,1
126575,1
266873,1
330224,0
140133,1
214726,1
432146,1
35064,1
148174,1
236156,1
437580,1
68883,1
52109,1
249556,1
233029,1
402034,1
246143,1
406635,1
466039,1
217109,1
103653,1
182640,1
13161,1
226517,1
354854,1
251377,1
359061,1
88577,1
87812,1
134658,1
183150,0
272184,1
156342,1
318118,1
21397,0
272267,1
218880,1
27553,1
14522,1
201900,1
263307,1
87509,1
362188,1
182520,1
457572,1
435786,1
143105,0
321360,1
153295,1
318776,1
438454,1
230929,1
298656,1
251716,1
380670,1
462538,1
289202,0
449766,1
332131,0
383073,1
136366,1
157227,1
250695,1
1253,1
2923,1
226887,1
195409,1
17563,1
117925,1
132145,1
316579,1
155565,1
59955,1
238471,1
204161,1
307140,1
276161,1
337302,1
280827,1
441449,1
21143,1
234830,1
141116,1
180033,1
119715,1
223142,1
191066,1
117403,0
275420,1
59763,1
382131,1
36162,0
341941,1
464959,1
12994,1
432839,1
108836,1
290390,1
162913,1
166315,0
143386,1
84725,1
303683,0
464855,1
171491,1
40676,1
432197,1
382596,1
383374,0
409388,1
244595,1
357140,1
20573,1
431261,1
102555,0
54615,1
356112,1
236546,1
101570,1
212862,1
280479,0
263920,1
106628,1
110044,1
124095,1
49882,1
424798,1
440105,0
276945,1
394478,0
182685,1
286335,1
88261,1
161414,1
50127,1
175094,1
96355,0
213377,0
435937,1
61551,1
345054,0
285179,1
131367,1
72521,1
72320,0
119835,0
103000,1
99981,1
100242,1
84759,1
404238,1
412542,1
34996,1
240642,1
362146,1
377283,1
21435,1
207228,0
225055,1
159986,0
148573,0
462304,1
132495,1
275733,1
216614,0
431907,1
75753,1
262193,1
129600,1
135765,1
2450,0
116417,1
424436,1
372530,1
327587,1
285929,1
30672,1
92480,1
107166,0
116182,1
395458,1
55117,1
414830,1
352909,1
421513,1
280663,1
409585,1
87603,1
238545,1
4256,1
350641,1
54510,1
128462,1
91334,1
407100,1
455910,1
22307,1
89436,1
18944,1
327534,1
148871,1
359068,1
307229,1
63490,1
42282,0
85983,1
114460,1
10376,1
92293,1
243350,1
56799,1
164972,0
67773,1
409646,1
341420,1
134299,1
185644,1
231738,1
122159,1
48656,1
73536,1
320628,1
322357,1
36251,1
353195,1
94216,1
346666,0
301310,1
268297,1
236207,1
431349,1
186069,1
245006,1
394991,1
22973,1
203771,1
301174,1
277704,1
138427,1
326724,1
96611,1
57102,1
440516,1
318212,1
95199,0
290679,1
309932,1
170223,1
206878,0
67308,1
362929,1
373886,1
214875,1
243678,1
209121,1
112779,1
66738,1
14392,1
7802,1
259715,1
269089,1
277513,1
296327,1
103054,1
437621,1
419756,1
327133,1
261356,1
413416,1
232933,1
282558,1
431525,1
456872,1
149017,1
3133,1
128534,1
454911,1
7376,0
292310,1
208730,1
11926,0
341390,1
25858,1
332029,1
431828,1
224441,1
426338,1
141522,1
16836,1
247417,1
404646,1
185735,1
129977,1
310443,1
299312,1
244251,1
413246,1
463215,1
167600,1
376,0
119414,1
127044,1
16210,0
94066,1
265923,1
230963,1
150216,0
183179,1
331478,1
77744,1
432729,1
262452,0
307450,1
291738,1
137476,1
242648,0
374334,1
212812,1
182590,1
73026,1
137808,1
330285,0
165448,0
235830,1
273285,1
303901,1
271371,1
217929,0
402301,1
166537,0
283901,1
216269,0
10544,1
325263,1
253616,1
421473,1
61091,0
6965,0
125469,1
185797,1
53823,1
366252,0
174845,1
106417,1
119809,1
236073,1
160847,1
106071,1
361982,1
374784,1
114622,0
225714,1
177540,1
252785,1
394271,1
236606,1
401364,1
95749,1
263833,1
291402,1
415250,1
29660,1
3101,0
439217,0
166097,0
330993,1
235147,1
454424,1
377473,0
232032,1
462073,1
147724,1
458444,1
316960,1
13157,1
67195,1
36717,1
167753,0
9407,1
270958,1
187773,1
171087,1
60138,1
443314,1
167639,1
185831,1
279967,1
314054,1
384511,1
350772,1
426893,1
240631,1
379769,1
297752,1
220323,1
185369,1
215855,1
212415,1
202712,1
370583,1
389487,1
52363,1
235457,1
62173,0
276656,1
355846,1
208652,1
263853,1
216264,0
245496,1
168811,1
186471,1
281391,1
277257,1
217722,1
67362,1
20223,1
55469,1
256175,1
221342,1
447055,1
246031,1
42165,1
40895,1
301436,0
446405,1
146556,1
425274,1
390529,1
134963,1
397532,1
145624,1
328559,1
340604,1
36043,0
238879,0
356412,1
361159,1
373800,1
254243,1
242783,1
76555,1
27157,1
346802,1
114322,1
32015,1
400377,1
248994,1
329401,1
350025,1
236647,1
75896,1
263257,1
325791,1
175791,1
262378,1
115744,0
224844,1
435225,1
73721,1
235583,1
66992,1
31290,1
55794,1
325024,1
304705,1
395601,1
252659,1
32836,1
302700,1
416382,1
84846,1
192836,0
458007,1
429702,1
25130,1
282013,1
174407,0
145411,1
88014,1
456530,0
446043,1
207373,1
299598,1
85343,1
38889,0
147411,1
338169,1
23580,0
380124,1
409003,1
43833,1
460226,1
203445,1
238089,1
398788,1
192138,1
213128,1
180641,1
344929,1
48830,1
122130,0
18291,1
441795,0
272776,1
317847,1
223146,1
357553,1
313574,1
325700,0
367387,1
252760,0
161038,1
441485,1
444195,1
177629,1
62466,1
436816,1
154870,1
464265,0
405138,1
164360,1
432041,1
383126,1
343305,1
169301,1
312495,1
201249,1
398031,1
433617,1
447206,1
44904,1
445999,1
345033,1
282134,1
367218,1
442246,1
9797,0
355943,1
151324,1
465113,1
154384,1
53129,0
333316,1
410041,1
221412,1
45848,0
74867,1
119934,1
20766,1
460655,1
303155,1
55166,1
75987,1
13504,1
362949,1
242690,1
199520,1
182309,1
259373,1
359676,1
379046,1
227855,1
43380,1
157019,1
161642,1
14512,1
160660,0
197498,1
275026,0
35801,1
26308,1
349059,1
169506,1
285787,1
67227,0
371354,1
307121,1
23636,1
380496,1
406112,1
421547,1
328928,1
313031,1
274165,1
220626,1
329585,1
455568,1
309442,1
252765,1
302448,1
224829,1
233577,1
307107,1
253990,1
371958,1
160261,1
326563,1
439298,1
44376,1
439927,1
218706,1
224727,1
302510,1
463510,1
91855,1
290540,1
443313,1
265350,0
177069,1
116809,1
282368,1
163788,1
102709,1
226242,1
276568,1
448563,1
426889,1
445437,1
211329,1
309458,1
332111,0
436042,1
335089,1
306327,1
195185,1
10739,0
64999,1
149701,1
253822,1
181978,0
97511,1
335735,1
297334,1
379259,1
289447,1
217533,1
296834,1
